/* DATA DESCRIPTION:
Citation:	Bode, Antonio (2013): Biomass and stable isotope composition of plankton in five size fractions along a zonal transect (24°N) from the Canary Islands to Florida in January-March 2011. PANGAEA, https://doi.org/10.1594/PANGAEA.816451, 
	Supplement to: Mompeán, Carmen; Bode, Antonio; Benítez-Barrios, Verónica M; Domínguez-Yanes, J Francisco; Escánez, José; Eugenio, Fraile-Nuez (2013): Spatial patterns of plankton biomass and stable isotopes reflect the influence of the nitrogen-fixer Trichodesmium along the subtropical North Atlantic. Journal of Plankton Research, 35(3), 513-525, https://doi.org/10.1093/plankt/fbt011
Abstract:	The spatial variability of biomass and stable isotopes in plankton size fractions in the upper 200 m was studied in a high spatial resolution transect along 24°N from Canary Islands to Florida (January - March 2011) during Leg 8 of the Malaspina-2010 expedition (http://www.expedicionmalaspina.es) to determine nitrogen and carbon sources. Plankton samples were collected by vertical tows of a microplankton net (40 mm mesh size) and a mesoplankton net (200 mm mesh size) through the upper 200 m of the water column. Sampling was between 10:00 and 16:00 h GMT. Plankton was separated into five size fractions (40 - 200, 200 - 500, 500 - 1000, 1000 - 2000 and > 2000 mm) by gentle filtration of the samples by a graded series of nylon sieves (2000, 1000, 500, 200 and 40 mm). Large gelatinous organisms were removed before filtration. Aliquots for each size fraction were collected on pre-weighed glass-fibre filters, dried (60°C, 48 h) and stored in a desiccator before determination of biomass (dry weight), carbon and nitrogen content and natural abundance of stable carbon and nitrogen isotopes ashore. Vertical advection of waters predominated in lateral zones while the central Atlantic (30-70°W) was characterized by a strong stratification and oligotrophic surface waters. Plankton biomass was low in the central zone and high in both eastern and western sides, with most of the variability due to either large (>2000 µm) and small plankton (<500 µm). Carbon isotopes reflected mainly the advection the deep water in lateral zones. Stable nitrogen isotopes showed a nearly symmetrical spatial distribution in all fractions, with the lowest values (delta15N <1per mill) in the central zone, and were inversely correlated to carbon stable isotopes (delta13C) and to the abundance of the nitrogen-fixer Trichodesmium. Diazotrophy was estimated to account for >50% of organic nitrogen in the central zone, and even >30% in eastern and western zones. The impact of diazotrophy increased with the size of the organisms, supporting the wide participation of all trophic levels in the processing of recently fixed nitrogen. These results indicate that atmospheric sources of carbon and nitrogen prevail over deep water sources in the subtropical North Atlantic and that the zone influenced by diazotrophy is much larger than reported in previous studies.
Project(s):	Basin Scale Analysis, Synthesis and Integration (EURO-BASIN) (URI: http://eurobasin.dtuaqua.dk/eurobasin/index/)
	Malaspina circumnavigation expedition (MALASPINA-2010) (URI: http://www.expedicionmalaspina.es/)
Funding:	Seventh Framework Programme (FP7), grant/award no. 264933: Basin Scale Analysis, Synthesis and Integration (URI: https://cordis.europa.eu/projects/264933)
Coverage:	MEDIAN LATITUDE: 25.089402 * MEDIAN LONGITUDE: -48.421107 * SOUTH-BOUND LATITUDE: 24.486500 * WEST-BOUND LONGITUDE: -79.565800 * NORTH-BOUND LATITUDE: 27.128500 * EAST-BOUND LONGITUDE: -15.347800
	DATE/TIME START: 2011-01-29T11:23:00 * DATE/TIME END: 2011-03-13T21:33:00
	MINIMUM DEPTH, water: 100 m * MAXIMUM DEPTH, water: 100 m
Event(s):	MALASPINA_LEG8_012-1 (station: 012) * LATITUDE: 27.128500 * LONGITUDE: -15.347800 * DATE/TIME: 2011-01-29T11:23:00 * LOCATION: Subtropical North Atlantic * CAMPAIGN: MALASPINA_LEG8 * BASIS: Sarmiento de Gamboa (URI: http://www.utm.csic.es/web/index.php/en/instalaciones/sdg) * METHOD/DEVICE: Multiple opening/closing net (MSN) * COMMENT: used two different nets: microplankton net (mesh size = 40 µm, net area = 0.071 square meter); mesoplankton net (mesh size 200 µm, net area = 0.196 square meter)
